epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8593.85,0.94133,0.64512,1.08848,0.91149,0.89093,0.93479,0.71735,0.91807,0.53109,1.1167,0.005842,0.005842,0.005842
44,8789.16,0.9329,0.63856,1.08408,0.90996,0.89212,0.93513,0.71772,0.91815,0.5302,1.11686,0.005743,0.005743,0.005743
45,8985.16,0.93326,0.63391,1.08239,0.9106,0.89263,0.93488,0.7177,0.91815,0.52998,1.11679,0.005644,0.005644,0.005644
46,9180.62,0.93322,0.63685,1.08356,0.91105,0.89028,0.93515,0.71864,0.91765,0.52937,1.11624,0.005545,0.005545,0.005545
47,9374.72,0.93317,0.62749,1.08274,0.91393,0.88588,0.93522,0.71878,0.91725,0.52858,1.11556,0.005446,0.005446,0.005446
48,9570.28,0.9265,0.62173,1.07712,0.9168,0.8862,0.9358,0.71957,0.91683,0.52801,1.11531,0.005347,0.005347,0.005347
49,9765.43,0.92366,0.62117,1.07769,0.91752,0.88705,0.93594,0.72069,0.91622,0.52824,1.11489,0.005248,0.005248,0.005248
50,9961.12,0.92121,0.61858,1.07406,0.91715,0.88671,0.93582,0.72161,0.9159,0.52728,1.11474,0.005149,0.005149,0.005149
51,10157.2,0.91724,0.61807,1.07355,0.92091,0.88473,0.93531,0.7211,0.91578,0.52688,1.11478,0.00505,0.00505,0.00505
52,194.01,0.90547,0.60506,1.06946,0.92244,0.88358,0.93542,0.72129,0.91568,0.52672,1.11461,0.004951,0.004951,0.004951
53,394.232,0.92809,0.61937,1.0769,0.9229,0.88368,0.93534,0.72104,0.9154,0.52622,1.11446,0.004852,0.004852,0.004852
54,594.058,0.9166,0.60983,1.07353,0.92281,0.88521,0.93535,0.72182,0.91526,0.52628,1.1146,0.004753,0.004753,0.004753
55,802.349,0.91376,0.61142,1.07562,0.92099,0.88661,0.93521,0.72106,0.91499,0.52556,1.11432,0.004654,0.004654,0.004654
56,1003.24,0.91309,0.61309,1.07792,0.92171,0.88548,0.9352,0.72072,0.91437,0.52433,1.11428,0.004555,0.004555,0.004555
57,1202.53,0.90608,0.60769,1.07315,0.92379,0.88425,0.93478,0.72132,0.91378,0.52341,1.11374,0.004456,0.004456,0.004456
58,1403,0.90811,0.61125,1.07198,0.92391,0.88181,0.93492,0.72226,0.91362,0.52312,1.11362,0.004357,0.004357,0.004357
59,1602.29,0.90097,0.59984,1.06548,0.9223,0.88217,0.93493,0.72306,0.91346,0.52238,1.11347,0.004258,0.004258,0.004258
60,1799.42,0.90038,0.59548,1.06505,0.92115,0.88262,0.935,0.7235,0.91308,0.52253,1.11329,0.004159,0.004159,0.004159
61,1997.15,0.89596,0.59134,1.06134,0.91824,0.88395,0.93493,0.72353,0.91319,0.52263,1.11324,0.00406,0.00406,0.00406
62,2194.41,0.89621,0.59677,1.06477,0.91865,0.88465,0.93494,0.72353,0.91302,0.522,1.11318,0.003961,0.003961,0.003961
63,2392.27,0.89027,0.58787,1.05953,0.91909,0.88603,0.93581,0.72351,0.91266,0.52204,1.11285,0.003862,0.003862,0.003862
64,2590.98,0.8875,0.58585,1.05887,0.91932,0.88677,0.93583,0.7237,0.91212,0.52204,1.1125,0.003763,0.003763,0.003763
65,2788.7,0.88364,0.58146,1.05349,0.92057,0.88735,0.93621,0.72457,0.91148,0.52158,1.11221,0.003664,0.003664,0.003664
66,2986.28,0.87805,0.58021,1.05737,0.9218,0.88714,0.93628,0.72487,0.91146,0.52113,1.11194,0.003565,0.003565,0.003565
67,3185.4,0.87939,0.57263,1.05463,0.92183,0.88786,0.93654,0.72645,0.91105,0.52078,1.11186,0.003466,0.003466,0.003466
68,3382.75,0.87453,0.56672,1.05446,0.92231,0.88753,0.9366,0.72686,0.91111,0.51999,1.11187,0.003367,0.003367,0.003367
69,3578.53,0.87009,0.57023,1.05155,0.92345,0.88687,0.9366,0.72624,0.91028,0.51982,1.11159,0.003268,0.003268,0.003268
70,3780.97,0.87044,0.56306,1.048,0.923,0.88748,0.93644,0.72662,0.91033,0.51864,1.11166,0.003169,0.003169,0.003169
71,3978.67,0.86408,0.56206,1.04767,0.92126,0.88877,0.93674,0.7268,0.91009,0.51851,1.11187,0.00307,0.00307,0.00307
72,4174.29,0.8619,0.55748,1.0467,0.91924,0.88889,0.93684,0.7271,0.90967,0.51786,1.11202,0.002971,0.002971,0.002971
73,4369.59,0.85857,0.55194,1.04278,0.921,0.88608,0.93681,0.72759,0.90955,0.51736,1.11214,0.002872,0.002872,0.002872
74,4567.23,0.84486,0.54399,1.03336,0.91992,0.88873,0.93699,0.72727,0.90957,0.51672,1.11228,0.002773,0.002773,0.002773
75,4764.25,0.85072,0.54582,1.03992,0.91854,0.88987,0.93754,0.72784,0.90929,0.51595,1.11231,0.002674,0.002674,0.002674
76,4960.41,0.84766,0.53961,1.03737,0.91856,0.89032,0.93682,0.72806,0.909,0.51506,1.11229,0.002575,0.002575,0.002575
77,5155.26,0.84048,0.53636,1.03671,0.91936,0.89014,0.93699,0.72828,0.90903,0.51528,1.1123,0.002476,0.002476,0.002476
78,5350.74,0.84338,0.53994,1.03584,0.91837,0.88916,0.93707,0.72883,0.90891,0.51485,1.11222,0.002377,0.002377,0.002377
79,5548.32,0.8326,0.53248,1.03263,0.91763,0.88816,0.93686,0.72859,0.90855,0.51433,1.1121,0.002278,0.002278,0.002278
80,5747.54,0.83365,0.52755,1.03219,0.91794,0.8885,0.9369,0.72793,0.90808,0.51416,1.1118,0.002179,0.002179,0.002179
81,5941.85,0.83021,0.52526,1.03002,0.91523,0.89038,0.93677,0.7288,0.90761,0.5133,1.11169,0.00208,0.00208,0.00208
82,6137.69,0.82316,0.51982,1.02654,0.91454,0.89257,0.93678,0.72853,0.90734,0.51316,1.11135,0.001981,0.001981,0.001981
83,6335.29,0.81921,0.51992,1.0267,0.91381,0.89397,0.93671,0.72886,0.90725,0.51265,1.11142,0.001882,0.001882,0.001882
84,6532.57,0.82255,0.51696,1.02447,0.91346,0.89521,0.93681,0.72889,0.9068,0.51222,1.11108,0.001783,0.001783,0.001783
